Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,Nominee,Winner,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_TV Movie,Genre_Thriller,Genre_War,Genre_Western
A Whisker Away,2020,7.881,1449,0,0,667520,0,0,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
Abigail,2024,6.723,1781,28000000,43015969,1111873,0,0,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Ad Astra,2019,6.1,6966,87500000,127461872,419704,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Adrift,2018,6.838,2649,35000000,59945012,429300,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
After,2019,7.115,8434,14000000,69497587,537915,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
After Ever Happy,2022,6.79,1325,14000000,19238073,744276,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
After We Collided,2020,7.163,5413,14000000,47990414,613504,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
After We Fell,2021,7.023,2687,14000000,21753705,744275,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Aftersun,2022,7.675,1673,0,7834405,965150,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Air,2023,7.3,2197,80000000,90100000,964980,0,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Aladdin,2019,7.093,10398,183000000,1097831681,420817,0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
Alice Through the Looking Glass,2016,6.56,6631,170000000,299457024,241259,0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Alien: Covenant,2017,6.163,9118,97000000,240891763,126889,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
Alien: Romulus,2024,7.175,4091,80000000,350865342,945961,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Alita: Battle Angel,2019,7.244,9669,170000000,405000000,399579,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
All Quiet on the Western Front,2022,7.7,4376,20000000,0,49046,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
All the Bright Places,2020,7.637,2950,0,0,342470,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Allegiant,2016,6.1,6800,110000000,179246868,262504,0,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Allied,2016,6.8,4664,106000000,119520023,369885,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
Aloha,2015,5.514,2111,37000000,26250020,222936,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Alpha,2018,6.525,2651,51000000,99630675,399360,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Ambulance,2022,6.636,2302,40000000,52303589,763285,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
American Assassin,2017,6.411,3150,33000000,67200000,415842,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
American Fiction,2023,7.283,1209,16000000,22483370,1056360,1,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
American Made,2017,6.895,4788,50000000,133511855,337170,0,0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
American Ultra,2015,6.09,2876,28000000,27100000,261392,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Amsterdam,2022,6.063,1718,80000000,31245810,664469,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Anatomy of a Fall,2023,7.539,3006,6700000,35634133,915935,1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Angel Has Fallen,2019,6.598,3723,40000000,146661977,423204,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anna,2019,6.706,2857,34000000,31626978,484641,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Annabelle Comes Home,2019,6.409,3739,27000000,231252591,521029,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Annabelle: Creation,2017,6.605,5857,15000000,306592201,396422,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Annihilation,2018,6.434,9078,40000000,43070915,300668,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Anora,2024,7.05,2730,6000000,56286295,1064213,1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Another Round,2020,7.635,3577,5150000,21700000,580175,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Ant-Man,2015,7.067,20422,130000000,519311965,102899,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ant-Man and the Wasp,2018,6.912,13827,140000000,622674139,363088,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ant-Man and the Wasp: Quantumania,2023,6.3,5508,200000000,476071180,640146,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anyone But You,2023,6.831,2790,25000000,214891370,1072790,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Apocalypse Z: The Beginning of the End,2024,6.723,1168,0,500000,1118031,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Aquaman,2018,6.872,14565,160000000,1152028393,297802,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Aquaman and the Lost Kingdom,2023,6.6,3269,205000000,440181226,572802,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Argylle,2024,6.023,1595,200000000,96221061,848538,0,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Army of the Dead,2021,6.229,4248,90000000,190700000,503736,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Army of Thieves,2021,6.813,2178,30000000,46900000,796499,0,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arrival,2016,7.622,18712,47000000,203388186,329865,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
Artemis Fowl,2020,5.535,1697,125000000,0,475430,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
Arthur the King,2024,7.577,855,19000000,40829138,618588,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Assassin's Creed,2016,5.429,7953,125000000,240700000,121856,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Asterix & Obelix: The Middle Kingdom,2023,4.837,1119,72000000,46497678,643215,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Asteroid City,2023,6.441,2286,25000000,53857743,747188,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Atlas,2024,6.704,1454,100000000,0,614933,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Atomic Blonde,2017,6.429,6448,30000000,100014025,341013,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ava,2020,5.828,2674,0,2987741,539885,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Avatar: The Way of Water,2022,7.611,13044,350000000,2330224914,76600,1,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Avengers: Age of Ultron,2015,7.271,23855,365000000,1405403694,99861,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Avengers: Endgame,2019,8.237,26930,356000000,2799439100,299534,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Avengers: Infinity War,2018,8.235,31141,300000000,2052415039,299536,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Baby Driver,2017,7.445,16373,34000000,226945087,339403,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Babygirl,2024,5.739,1001,20000000,60934894,1097549,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Babylon,2022,7.373,3532,78000000,65267446,615777,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Bad Boys for Life,2020,7.127,8541,90000000,426505244,38700,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bad Boys: Ride or Die,2024,7.346,3113,100000000,404547819,573435,0,0,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bad Moms,2016,6.494,4176,20000000,183936074,376659,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bad Times at the El Royale,2018,6.845,3739,32000000,31882724,446021,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
Barbarian,2022,6.84,2964,4500000,45400000,913290,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Barbie,2023,6.946,10463,145000000,1447138421,346698,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Batman v Superman: Dawn of Justice,2016,5.987,18594,250000000,874362803,209112,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Baywatch,2017,6.091,8324,69000000,177900000,339846,0,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beast,2022,6.542,1665,0,56000000,760741,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Beating Hearts,2024,7.2,917,37315205,36010728,959604,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Beau Is Afraid,2023,6.7,1225,35000000,12337378,798286,0,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Beautiful Boy,2018,7.552,2742,25000000,7700000,451915,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Beauty and the Beast,2017,6.969,15820,160000000,1266115964,321612,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
Beetlejuice Beetlejuice,2024,7.0,2844,99000000,452000435,917496,0,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
Before I Fall,2017,6.963,3484,5000000,16373843,397837,0,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Belfast,2021,7.1,1610,11000000,49158343,777270,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Beverly Hills Cop: Axel F,2024,6.7,1325,150000000,0,280180,0,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bird Box,2018,6.826,10302,19800000,0,405774,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,6.9,10581,75000000,205537933,495764,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Black Adam,2022,6.8,6766,200000000,393452111,436270,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Black Mass,2015,6.523,3487,53000000,99975678,261023,0,0,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Black Mirror: Bandersnatch,2018,6.763,4054,0,0,569547,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
Black Panther,2018,7.366,22948,200000000,1349926083,284054,1,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Black Panther: Wakanda Forever,2022,7.0,7101,250000000,859102154,505642,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Black Widow,2021,7.2,10851,200000000,379751131,497698,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Blackhat,2015,5.514,2118,70000000,17752940,201088,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BlacKkKlansman,2018,7.5,7865,15000000,93411426,487558,1,0,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Blade Runner 2049,2017,7.587,14536,150000000,259239658,335984,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Blink Twice,2024,6.681,1667,20000000,46393906,840705,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Blonde,2022,5.929,1462,22000000,0,301502,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Blood Red Sky,2021,6.813,1648,17739525,0,760883,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Bloodshot,2020,6.696,5123,42000000,39861118,338762,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Blue Beetle,2023,6.658,2943,104000000,130788072,565770,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bob Marley: One Love,2024,6.647,899,70000000,180828556,802219,0,0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
Bodies Bodies Bodies,2022,6.176,1350,3000000,13900000,520023,0,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Bohemian Rhapsody,2018,7.964,17395,52000000,910813521,424694,1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Bombshell,2019,6.784,3112,32000000,61404394,525661,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Bone Tomahawk,2015,6.875,2413,1800000,475846,294963,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
Bones and All,2022,7.027,1519,16000000,15234907,791177,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
Booksmart,2019,7.009,2751,6000000,24849029,505600,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Borat Subsequent Moviefilm,2020,6.436,2723,0,0,740985,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Borderlands,2024,5.616,1337,115000000,33017367,365177,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Boss Level,2021,6.86,1784,45000000,2000000,513310,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Brahms: The Boy II,2020,5.9,1271,10000000,20311536,555974,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
Bridge of Spies,2015,7.236,7083,40000000,165478348,296098,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Bridget Jones's Baby,2016,6.4,3022,35000000,211952420,95610,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Bright,2017,6.2,5837,90000000,0,400106,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Brightburn,2019,6.135,3327,6000000,33224654,531309,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Brooklyn,2015,7.31,3186,11000000,62076141,167073,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
Bullet Train,2022,7.419,7042,90000000,239300000,718930,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
