distance,kicker,result,target
28,C.Boswell,Make,1
24,J.Tucker,Make,1
40,C.Boswell,Make,1
46,J.Tucker,Make,1
36,C.Boswell,Make,1
36,E.Fry,Make,1
43,M.Gay,Make,1
42,R.Gould,Make,1
24,R.Gould,Make,1
39,R.Succop,Make,1
35,L.Hajrullahu,Make,1
40,R.Succop,Make,1
46,R.Succop,Miss,0
41,M.Prater,Make,1
38,J.Myers,Make,1
30,M.Prater,Make,1
36,M.Prater,Make,1
30,J.Sanders,Make,1
43,N.Folk,Make,1
49,J.Sanders,Make,1
48,Y.Koo,Make,1
34,B.Maher,Miss,0
54,Y.Koo,Make,1
37,B.Maher,Make,1
27,B.Maher,Make,1
33,B.Maher,Make,1
41,T.Bass,Make,1
21,T.Bass,Make,1
49,E.Pineiro,Make,1
24,D.Carlson,Make,1
51,D.Hopkins,Miss,0
31,D.Carlson,Make,1
52,D.Carlson,Make,1
40,D.Carlson,Make,1
41,D.Hopkins,Make,1
47,D.Carlson,Make,1
